 ;5.02 BN - Kennedybrücke (Südseite) Barometer ;5.02 BN - Kennedybrücke (Südseite) IN ;5.02 BN - Kennedybrücke (Südseite) Barometer Radfahrer Ri. Beuel
2015-03-30-10-00-00;29;15;14
2015-03-30-10-15-00;41;13;28
2015-03-30-10-30-00;25;4;21
2015-03-30-10-45-00;34;16;18
2015-03-30-11-00-00;33;17;16
2015-03-30-11-15-00;24;10;14
2015-03-30-11-30-00;24;10;14
2015-03-30-11-45-00;29;12;17
2015-03-30-12-00-00;41;9;32
2015-03-30-12-15-00;38;9;29
2015-03-30-12-30-00;37;11;26
2015-03-30-12-45-00;45;15;30
2015-03-30-13-00-00;36;10;26
2015-03-30-13-15-00;44;14;30
2015-03-30-13-30-00;33;7;26
2015-03-30-13-45-00;40;12;28
2015-03-30-14-00-00;34;9;25
2015-03-30-14-15-00;34;7;27
2015-03-30-14-30-00;43;8;35
2015-03-30-14-45-00;45;14;31
2015-03-30-15-00-00;24;7;17
2015-03-30-15-15-00;36;10;26
2015-03-30-15-30-00;39;8;31
2015-03-30-15-45-00;47;11;36
2015-03-30-16-00-00;56;13;43
2015-03-30-16-15-00;71;10;61
2015-03-30-16-30-00;70;11;59
2015-03-30-16-45-00;80;15;65
2015-03-30-17-00-00;69;13;56
2015-03-30-17-15-00;94;14;80
2015-03-30-17-30-00;75;19;56
2015-03-30-17-45-00;77;11;66
2015-03-30-18-00-00;86;20;66
2015-03-30-18-15-00;70;21;49
2015-03-30-18-30-00;73;10;63
2015-03-30-18-45-00;82;24;58
2015-03-30-19-00-00;61;12;49
2015-03-30-19-15-00;52;16;36
2015-03-30-19-30-00;49;16;33
2015-03-30-19-45-00;36;13;23
2015-03-30-20-00-00;38;3;35
2015-03-30-20-15-00;43;10;33
2015-03-30-20-30-00;25;6;19
2015-03-30-20-45-00;21;4;17
2015-03-30-21-00-00;14;3;11
2015-03-30-21-15-00;20;3;17
2015-03-30-21-30-00;20;3;17
2015-03-30-21-45-00;13;2;11
2015-03-30-22-00-00;11;3;8
2015-03-30-22-15-00;12;1;11
2015-03-30-22-30-00;14;5;9
2015-03-30-22-45-00;6;0;6
2015-03-30-23-00-00;12;0;12
2015-03-30-23-15-00;5;0;5
2015-03-30-23-30-00;14;0;14
2015-03-30-23-45-00;14;1;13
2015-03-31-00-00-00;5;0;5
2015-03-31-00-15-00;5;0;5
2015-03-31-00-30-00;5;2;3
2015-03-31-00-45-00;2;0;2
2015-03-31-01-00-00;2;1;1
2015-03-31-01-15-00;2;0;2
2015-03-31-01-30-00;6;1;5
2015-03-31-01-45-00;2;0;2
2015-03-31-02-00-00;1;0;1
2015-03-31-02-15-00;3;1;2
2015-03-31-02-30-00;0;0;0
2015-03-31-02-45-00;3;0;3
2015-03-31-03-00-00;0;0;0
2015-03-31-03-15-00;1;0;1
2015-03-31-03-30-00;5;1;4
2015-03-31-03-45-00;2;1;1
2015-03-31-04-00-00;2;2;0
2015-03-31-04-15-00;2;2;0
2015-03-31-04-30-00;4;0;4
2015-03-31-04-45-00;4;1;3
2015-03-31-05-00-00;0;0;0
2015-03-31-05-15-00;3;0;3
2015-03-31-05-30-00;10;6;4
2015-03-31-05-45-00;9;4;5
2015-03-31-06-00-00;8;4;4
2015-03-31-06-15-00;10;4;6
2015-03-31-06-30-00;11;2;9
2015-03-31-06-45-00;11;8;3
2015-03-31-07-00-00;29;12;17
2015-03-31-07-15-00;28;16;12
2015-03-31-07-30-00;25;8;17
2015-03-31-07-45-00;47;22;25
2015-03-31-08-00-00;16;11;5
2015-03-31-08-15-00;28;16;12
2015-03-31-08-30-00;39;15;24
2015-03-31-08-45-00;44;19;25
2015-03-31-09-00-00;29;23;6
2015-03-31-09-15-00;25;12;13
2015-03-31-09-30-00;15;8;7
2015-03-31-09-45-00;8;4;4
2015-03-31-10-00-00;10;3;7
2015-03-31-10-15-00;9;5;4
2015-03-31-10-30-00;7;4;3
2015-03-31-10-45-00;11;3;8
2015-03-31-11-00-00;11;3;8
2015-03-31-11-15-00;10;2;8
2015-03-31-11-30-00;10;7;3
2015-03-31-11-45-00;13;5;8
2015-03-31-12-00-00;15;4;11
2015-03-31-12-15-00;12;5;7
2015-03-31-12-30-00;16;3;13
2015-03-31-12-45-00;11;4;7
2015-03-31-13-00-00;12;4;8
2015-03-31-13-15-00;14;6;8
2015-03-31-13-30-00;20;6;14
2015-03-31-13-45-00;14;1;13
2015-03-31-14-00-00;16;4;12
2015-03-31-14-15-00;21;7;14
2015-03-31-14-30-00;18;4;14
2015-03-31-14-45-00;15;1;14
2015-03-31-15-00-00;18;6;12
2015-03-31-15-15-00;27;13;14
2015-03-31-15-30-00;30;7;23
2015-03-31-15-45-00;31;3;28
2015-03-31-16-00-00;33;3;30
2015-03-31-16-15-00;46;7;39
2015-03-31-16-30-00;37;12;25
2015-03-31-16-45-00;45;4;41
2015-03-31-17-00-00;33;6;27
2015-03-31-17-15-00;46;13;33
2015-03-31-17-30-00;38;8;30
2015-03-31-17-45-00;51;7;44
2015-03-31-18-00-00;48;8;40
2015-03-31-18-15-00;39;7;32
2015-03-31-18-30-00;41;7;34
2015-03-31-18-45-00;40;8;32
2015-03-31-19-00-00;31;8;23
2015-03-31-19-15-00;16;5;11
2015-03-31-19-30-00;22;6;16
2015-03-31-19-45-00;30;10;20
