 ;5.02 BN - Kennedybrücke (Südseite) Barometer ;5.02 BN - Kennedybrücke (Südseite) IN ;5.02 BN - Kennedybrücke (Südseite) Barometer Radfahrer Ri. Beuel
2015-03-31-20-00-00;19;2;17
2015-03-31-20-15-00;17;5;12
2015-03-31-20-30-00;11;7;4
2015-03-31-20-45-00;8;0;8
2015-03-31-21-00-00;11;1;10
2015-03-31-21-15-00;15;6;9
2015-03-31-21-30-00;17;4;13
2015-03-31-21-45-00;10;1;9
2015-03-31-22-00-00;14;1;13
2015-03-31-22-15-00;18;3;15
2015-03-31-22-30-00;8;2;6
2015-03-31-22-45-00;5;1;4
2015-03-31-23-00-00;5;2;3
2015-03-31-23-15-00;10;2;8
2015-03-31-23-30-00;4;1;3
2015-03-31-23-45-00;6;1;5
2015-04-01-00-00-00;0;0;0
2015-04-01-00-15-00;0;0;0
2015-04-01-00-30-00;6;1;5
2015-04-01-00-45-00;2;1;1
2015-04-01-01-00-00;2;0;2
2015-04-01-01-15-00;2;0;2
2015-04-01-01-30-00;3;1;2
2015-04-01-01-45-00;1;0;1
2015-04-01-02-00-00;2;0;2
2015-04-01-02-15-00;0;0;0
2015-04-01-02-30-00;0;0;0
2015-04-01-02-45-00;2;0;2
2015-04-01-03-00-00;1;0;1
2015-04-01-03-15-00;0;0;0
2015-04-01-03-30-00;2;0;2
2015-04-01-03-45-00;0;0;0
2015-04-01-04-00-00;3;2;1
2015-04-01-04-15-00;3;2;1
2015-04-01-04-30-00;5;0;5
2015-04-01-04-45-00;3;1;2
2015-04-01-05-00-00;1;1;0
2015-04-01-05-15-00;0;0;0
2015-04-01-05-30-00;8;5;3
2015-04-01-05-45-00;6;2;4
2015-04-01-06-00-00;8;5;3
2015-04-01-06-15-00;9;6;3
2015-04-01-06-30-00;10;2;8
2015-04-01-06-45-00;15;8;7
2015-04-01-07-00-00;13;5;8
2015-04-01-07-15-00;27;10;17
2015-04-01-07-30-00;31;18;13
2015-04-01-07-45-00;39;17;22
2015-04-01-08-00-00;39;23;16
2015-04-01-08-15-00;36;18;18
2015-04-01-08-30-00;48;23;25
2015-04-01-08-45-00;43;25;18
2015-04-01-09-00-00;29;14;15
2015-04-01-09-15-00;38;22;16
2015-04-01-09-30-00;27;18;9
2015-04-01-09-45-00;25;10;15
2015-04-01-10-00-00;20;7;13
2015-04-01-10-15-00;21;8;13
2015-04-01-10-30-00;18;7;11
2015-04-01-10-45-00;21;7;14
2015-04-01-11-00-00;26;8;18
2015-04-01-11-15-00;24;14;10
2015-04-01-11-30-00;22;7;15
2015-04-01-11-45-00;29;13;16
2015-04-01-12-00-00;20;10;10
2015-04-01-12-15-00;31;11;20
2015-04-01-12-30-00;24;11;13
2015-04-01-12-45-00;30;8;22
2015-04-01-13-00-00;26;5;21
2015-04-01-13-15-00;29;14;15
2015-04-01-13-30-00;18;4;14
2015-04-01-13-45-00;24;6;18
2015-04-01-14-00-00;30;5;25
2015-04-01-14-15-00;25;2;23
2015-04-01-14-30-00;15;5;10
2015-04-01-14-45-00;30;6;24
2015-04-01-15-00-00;33;7;26
2015-04-01-15-15-00;31;5;26
2015-04-01-15-30-00;37;8;29
2015-04-01-15-45-00;36;9;27
2015-04-01-16-00-00;52;10;42
2015-04-01-16-15-00;59;10;49
2015-04-01-16-30-00;29;4;25
2015-04-01-16-45-00;46;8;38
2015-04-01-17-00-00;45;7;38
2015-04-01-17-15-00;71;8;63
2015-04-01-17-30-00;69;16;53
2015-04-01-17-45-00;65;18;47
2015-04-01-18-00-00;54;11;43
2015-04-01-18-15-00;57;10;47
2015-04-01-18-30-00;52;8;44
2015-04-01-18-45-00;58;15;43
2015-04-01-19-00-00;46;13;33
2015-04-01-19-15-00;42;6;36
2015-04-01-19-30-00;43;10;33
2015-04-01-19-45-00;37;5;32
2015-04-01-20-00-00;39;6;33
2015-04-01-20-15-00;29;4;25
2015-04-01-20-30-00;15;3;12
2015-04-01-20-45-00;24;5;19
2015-04-01-21-00-00;19;2;17
2015-04-01-21-15-00;15;1;14
2015-04-01-21-30-00;19;5;14
2015-04-01-21-45-00;18;2;16
2015-04-01-22-00-00;14;4;10
2015-04-01-22-15-00;18;3;15
2015-04-01-22-30-00;11;3;8
2015-04-01-22-45-00;18;2;16
2015-04-01-23-00-00;16;5;11
2015-04-01-23-15-00;10;4;6
2015-04-01-23-30-00;7;1;6
2015-04-01-23-45-00;7;0;7
2015-04-02-00-00-00;2;0;2
2015-04-02-00-15-00;5;0;5
2015-04-02-00-30-00;5;1;4
2015-04-02-00-45-00;8;2;6
2015-04-02-01-00-00;1;0;1
2015-04-02-01-15-00;1;0;1
2015-04-02-01-30-00;3;0;3
2015-04-02-01-45-00;1;0;1
2015-04-02-02-00-00;1;0;1
2015-04-02-02-15-00;2;1;1
2015-04-02-02-30-00;0;0;0
2015-04-02-02-45-00;3;0;3
2015-04-02-03-00-00;2;0;2
2015-04-02-03-15-00;0;0;0
2015-04-02-03-30-00;2;0;2
2015-04-02-03-45-00;2;1;1
2015-04-02-04-00-00;2;2;0
2015-04-02-04-15-00;3;3;0
2015-04-02-04-30-00;4;0;4
2015-04-02-04-45-00;0;0;0
2015-04-02-05-00-00;1;0;1
2015-04-02-05-15-00;5;2;3
2015-04-02-05-30-00;7;2;5
2015-04-02-05-45-00;3;1;2
2015-04-02-06-00-00;10;6;4
2015-04-02-06-15-00;7;2;5
2015-04-02-06-30-00;7;3;4
2015-04-02-06-45-00;15;9;6
2015-04-02-07-00-00;8;3;5
2015-04-02-07-15-00;24;10;14
2015-04-02-07-30-00;29;14;15
2015-04-02-07-45-00;32;13;19
2015-04-02-08-00-00;17;13;4
2015-04-02-08-15-00;27;12;15
2015-04-02-08-30-00;23;6;17
2015-04-02-08-45-00;34;17;17
2015-04-02-09-00-00;19;13;6
2015-04-02-09-15-00;14;7;7
2015-04-02-09-30-00;23;12;11
2015-04-02-09-45-00;20;10;10
2015-04-02-10-00-00;19;10;9
2015-04-02-10-15-00;13;8;5
2015-04-02-10-30-00;18;8;10
2015-04-02-10-45-00;21;6;15
2015-04-02-11-00-00;15;7;8
2015-04-02-11-15-00;21;6;15
2015-04-02-11-30-00;18;10;8
2015-04-02-11-45-00;20;8;12
2015-04-02-12-00-00;25;7;18
2015-04-02-12-15-00;25;12;13
2015-04-02-12-30-00;25;9;16
2015-04-02-12-45-00;22;5;17
2015-04-02-13-00-00;29;7;22
2015-04-02-13-15-00;32;10;22
2015-04-02-13-30-00;26;9;17
2015-04-02-13-45-00;26;3;23
2015-04-02-14-00-00;29;6;23
2015-04-02-14-15-00;41;12;29
2015-04-02-14-30-00;29;5;24
2015-04-02-14-45-00;33;7;26
2015-04-02-15-00-00;42;15;27
2015-04-02-15-15-00;39;14;25
2015-04-02-15-30-00;41;13;28
2015-04-02-15-45-00;45;15;30
2015-04-02-16-00-00;50;13;37
2015-04-02-16-15-00;51;12;39
2015-04-02-16-30-00;59;9;50
2015-04-02-16-45-00;85;22;63
2015-04-02-17-00-00;53;11;42
2015-04-02-17-15-00;50;14;36
2015-04-02-17-30-00;35;8;27
2015-04-02-17-45-00;51;15;36
2015-04-02-18-00-00;53;11;42
2015-04-02-18-15-00;62;14;48
2015-04-02-18-30-00;43;12;31
2015-04-02-18-45-00;38;13;25
2015-04-02-19-00-00;44;8;36
2015-04-02-19-15-00;32;10;22
2015-04-02-19-30-00;29;8;21
2015-04-02-19-45-00;40;9;31
2015-04-02-20-00-00;41;8;33
2015-04-02-20-15-00;27;3;24
2015-04-02-20-30-00;23;4;19
2015-04-02-20-45-00;22;11;11
2015-04-02-21-00-00;18;6;12
2015-04-02-21-15-00;14;5;9
2015-04-02-21-30-00;15;8;7
2015-04-02-21-45-00;8;1;7
2015-04-02-22-00-00;11;2;9
2015-04-02-22-15-00;13;3;10
2015-04-02-22-30-00;16;3;13
2015-04-02-22-45-00;8;0;8
2015-04-02-23-00-00;13;1;12
2015-04-02-23-15-00;9;0;9
2015-04-02-23-30-00;15;1;14
2015-04-02-23-45-00;7;1;6
2015-04-03-00-00-00;4;1;3
2015-04-03-00-15-00;8;0;8
2015-04-03-00-30-00;8;1;7
2015-04-03-00-45-00;6;1;5
2015-04-03-01-00-00;10;0;10
2015-04-03-01-15-00;8;2;6
2015-04-03-01-30-00;5;2;3
2015-04-03-01-45-00;1;0;1
2015-04-03-02-00-00;0;0;0
2015-04-03-02-15-00;2;0;2
2015-04-03-02-30-00;2;0;2
2015-04-03-02-45-00;1;0;1
2015-04-03-03-00-00;2;0;2
2015-04-03-03-15-00;1;0;1
2015-04-03-03-30-00;1;0;1
2015-04-03-03-45-00;1;1;0
2015-04-03-04-00-00;4;0;4
2015-04-03-04-15-00;2;0;2
2015-04-03-04-30-00;2;0;2
2015-04-03-04-45-00;3;1;2
2015-04-03-05-00-00;0;0;0
2015-04-03-05-15-00;2;1;1
2015-04-03-05-30-00;1;0;1
2015-04-03-05-45-00;6;2;4
2015-04-03-06-00-00;1;0;1
2015-04-03-06-15-00;1;1;0
2015-04-03-06-30-00;0;0;0
2015-04-03-06-45-00;2;0;2
2015-04-03-07-00-00;2;0;2
2015-04-03-07-15-00;2;1;1
2015-04-03-07-30-00;5;3;2
2015-04-03-07-45-00;2;0;2
2015-04-03-08-00-00;8;5;3
2015-04-03-08-15-00;2;2;0
2015-04-03-08-30-00;7;2;5
2015-04-03-08-45-00;12;3;9
2015-04-03-09-00-00;2;1;1
2015-04-03-09-15-00;8;2;6
2015-04-03-09-30-00;14;7;7
2015-04-03-09-45-00;17;4;13
2015-04-03-10-00-00;10;2;8
2015-04-03-10-15-00;18;5;13
2015-04-03-10-30-00;24;7;17
2015-04-03-10-45-00;13;4;9
2015-04-03-11-00-00;27;5;22
2015-04-03-11-15-00;12;1;11
2015-04-03-11-30-00;26;6;20
2015-04-03-11-45-00;31;10;21
2015-04-03-12-00-00;21;2;19
2015-04-03-12-15-00;29;4;25
2015-04-03-12-30-00;26;7;19
2015-04-03-12-45-00;27;7;20
2015-04-03-13-00-00;31;7;24
2015-04-03-13-15-00;28;4;24
2015-04-03-13-30-00;35;9;26
2015-04-03-13-45-00;38;13;25
2015-04-03-14-00-00;35;12;23
2015-04-03-14-15-00;59;12;47
2015-04-03-14-30-00;37;13;24
2015-04-03-14-45-00;53;13;40
2015-04-03-15-00-00;48;14;34
2015-04-03-15-15-00;38;9;29
2015-04-03-15-30-00;41;16;25
2015-04-03-15-45-00;45;11;34
2015-04-03-16-00-00;29;6;23
2015-04-03-16-15-00;22;1;21
2015-04-03-16-30-00;35;6;29
2015-04-03-16-45-00;37;13;24
2015-04-03-17-00-00;38;12;26
2015-04-03-17-15-00;44;12;32
2015-04-03-17-30-00;26;5;21
2015-04-03-17-45-00;17;2;15
2015-04-03-18-00-00;34;8;26
2015-04-03-18-15-00;21;7;14
2015-04-03-18-30-00;25;8;17
2015-04-03-18-45-00;30;8;22
2015-04-03-19-00-00;30;5;25
2015-04-03-19-15-00;24;15;9
2015-04-03-19-30-00;22;5;17
2015-04-03-19-45-00;19;2;17
2015-04-03-20-00-00;18;5;13
2015-04-03-20-15-00;13;4;9
2015-04-03-20-30-00;16;7;9
2015-04-03-20-45-00;21;2;19
2015-04-03-21-00-00;5;2;3
2015-04-03-21-15-00;15;4;11
2015-04-03-21-30-00;7;2;5
2015-04-03-21-45-00;1;0;1
2015-04-03-22-00-00;6;0;6
2015-04-03-22-15-00;4;0;4
2015-04-03-22-30-00;10;2;8
2015-04-03-22-45-00;4;1;3
2015-04-03-23-00-00;8;0;8
2015-04-03-23-15-00;8;2;6
2015-04-03-23-30-00;6;2;4
2015-04-03-23-45-00;4;2;2
2015-04-04-00-00-00;3;2;1
2015-04-04-00-15-00;1;0;1
2015-04-04-00-30-00;6;1;5
2015-04-04-00-45-00;3;0;3
2015-04-04-01-00-00;5;1;4
2015-04-04-01-15-00;5;0;5
2015-04-04-01-30-00;5;0;5
2015-04-04-01-45-00;4;0;4
2015-04-04-02-00-00;0;0;0
2015-04-04-02-15-00;3;0;3
2015-04-04-02-30-00;4;0;4
2015-04-04-02-45-00;2;0;2
2015-04-04-03-00-00;1;0;1
2015-04-04-03-15-00;3;1;2
2015-04-04-03-30-00;1;1;0
2015-04-04-03-45-00;0;0;0
2015-04-04-04-00-00;2;1;1
2015-04-04-04-15-00;2;1;1
2015-04-04-04-30-00;1;0;1
2015-04-04-04-45-00;1;0;1
2015-04-04-05-00-00;0;0;0
2015-04-04-05-15-00;3;2;1
2015-04-04-05-30-00;3;1;2
2015-04-04-05-45-00;3;1;2
2015-04-04-06-00-00;0;0;0
2015-04-04-06-15-00;2;1;1
2015-04-04-06-30-00;1;0;1
2015-04-04-06-45-00;2;1;1
2015-04-04-07-00-00;3;0;3
2015-04-04-07-15-00;3;1;2
2015-04-04-07-30-00;2;1;1
2015-04-04-07-45-00;2;1;1
2015-04-04-08-00-00;3;1;2
2015-04-04-08-15-00;2;0;2
2015-04-04-08-30-00;12;7;5
2015-04-04-08-45-00;7;2;5
2015-04-04-09-00-00;5;3;2
2015-04-04-09-15-00;12;6;6
2015-04-04-09-30-00;19;6;13
2015-04-04-09-45-00;21;13;8
2015-04-04-10-00-00;23;12;11
2015-04-04-10-15-00;16;7;9
2015-04-04-10-30-00;17;7;10
2015-04-04-10-45-00;23;6;17
2015-04-04-11-00-00;20;13;7
2015-04-04-11-15-00;19;8;11
2015-04-04-11-30-00;16;7;9
2015-04-04-11-45-00;26;7;19
2015-04-04-12-00-00;21;10;11
2015-04-04-12-15-00;22;7;15
2015-04-04-12-30-00;20;11;9
2015-04-04-12-45-00;30;11;19
2015-04-04-13-00-00;27;10;17
2015-04-04-13-15-00;33;11;22
2015-04-04-13-30-00;36;20;16
2015-04-04-13-45-00;27;9;18
2015-04-04-14-00-00;42;18;24
2015-04-04-14-15-00;45;14;31
2015-04-04-14-30-00;38;10;28
2015-04-04-14-45-00;48;11;37
2015-04-04-15-00-00;39;13;26
2015-04-04-15-15-00;40;17;23
2015-04-04-15-30-00;38;10;28
2015-04-04-15-45-00;43;10;33
2015-04-04-16-00-00;51;18;33
2015-04-04-16-15-00;38;6;32
2015-04-04-16-30-00;40;7;33
2015-04-04-16-45-00;43;10;33
2015-04-04-17-00-00;48;15;33
2015-04-04-17-15-00;41;9;32
2015-04-04-17-30-00;41;11;30
2015-04-04-17-45-00;34;8;26
2015-04-04-18-00-00;31;3;28
2015-04-04-18-15-00;35;9;26
2015-04-04-18-30-00;48;19;29
2015-04-04-18-45-00;32;7;25
2015-04-04-19-00-00;31;9;22
2015-04-04-19-15-00;37;5;32
2015-04-04-19-30-00;12;5;7
2015-04-04-19-45-00;17;9;8
2015-04-04-20-00-00;25;8;17
2015-04-04-20-15-00;13;6;7
2015-04-04-20-30-00;14;1;13
2015-04-04-20-45-00;16;6;10
2015-04-04-21-00-00;11;7;4
2015-04-04-21-15-00;8;6;2
2015-04-04-21-30-00;9;4;5
2015-04-04-21-45-00;8;1;7
2015-04-04-22-00-00;4;0;4
2015-04-04-22-15-00;9;2;7
2015-04-04-22-30-00;4;1;3
2015-04-04-22-45-00;6;2;4
2015-04-04-23-00-00;10;3;7
2015-04-04-23-15-00;11;2;9
2015-04-04-23-30-00;7;0;7
2015-04-04-23-45-00;13;1;12
2015-04-05-00-00-00;3;0;3
2015-04-05-00-15-00;9;1;8
2015-04-05-00-30-00;13;5;8
2015-04-05-00-45-00;8;0;8
2015-04-05-01-00-00;4;3;1
2015-04-05-01-15-00;5;0;5
2015-04-05-01-30-00;7;0;7
2015-04-05-01-45-00;8;1;7
2015-04-05-02-00-00;0;0;0
2015-04-05-02-15-00;6;0;6
2015-04-05-02-30-00;5;1;4
2015-04-05-02-45-00;4;0;4
2015-04-05-03-00-00;2;0;2
2015-04-05-03-15-00;0;0;0
2015-04-05-03-30-00;4;0;4
2015-04-05-03-45-00;3;0;3
2015-04-05-04-00-00;2;0;2
2015-04-05-04-15-00;0;0;0
2015-04-05-04-30-00;2;0;2
2015-04-05-04-45-00;5;4;1
2015-04-05-05-00-00;0;0;0
2015-04-05-05-15-00;3;2;1
2015-04-05-05-30-00;2;1;1
2015-04-05-05-45-00;2;0;2
2015-04-05-06-00-00;2;0;2
2015-04-05-06-15-00;2;0;2
2015-04-05-06-30-00;3;1;2
2015-04-05-06-45-00;2;1;1
2015-04-05-07-00-00;2;0;2
2015-04-05-07-15-00;6;0;6
2015-04-05-07-30-00;6;1;5
2015-04-05-07-45-00;0;0;0
2015-04-05-08-00-00;4;2;2
2015-04-05-08-15-00;4;0;4
2015-04-05-08-30-00;5;2;3
2015-04-05-08-45-00;14;4;10
2015-04-05-09-00-00;9;2;7
2015-04-05-09-15-00;12;5;7
2015-04-05-09-30-00;10;2;8
2015-04-05-09-45-00;17;11;6
2015-04-05-10-00-00;13;4;9
2015-04-05-10-15-00;12;2;10
2015-04-05-10-30-00;23;5;18
2015-04-05-10-45-00;21;6;15
2015-04-05-11-00-00;16;2;14
2015-04-05-11-15-00;20;7;13
2015-04-05-11-30-00;31;3;28
2015-04-05-11-45-00;34;6;28
2015-04-05-12-00-00;31;5;26
2015-04-05-12-15-00;36;10;26
2015-04-05-12-30-00;32;10;22
2015-04-05-12-45-00;25;1;24
2015-04-05-13-00-00;44;10;34
2015-04-05-13-15-00;24;6;18
2015-04-05-13-30-00;48;9;39
2015-04-05-13-45-00;28;4;24
2015-04-05-14-00-00;34;9;25
2015-04-05-14-15-00;42;11;31
2015-04-05-14-30-00;53;15;38
2015-04-05-14-45-00;39;4;35
2015-04-05-15-00-00;24;4;20
2015-04-05-15-15-00;26;6;20
2015-04-05-15-30-00;27;3;24
2015-04-05-15-45-00;30;17;13
2015-04-05-16-00-00;43;12;31
2015-04-05-16-15-00;43;16;27
2015-04-05-16-30-00;36;12;24
2015-04-05-16-45-00;26;12;14
2015-04-05-17-00-00;21;3;18
2015-04-05-17-15-00;31;15;16
2015-04-05-17-30-00;29;11;18
2015-04-05-17-45-00;28;10;18
2015-04-05-18-00-00;31;8;23
2015-04-05-18-15-00;24;9;15
2015-04-05-18-30-00;29;13;16
2015-04-05-18-45-00;27;8;19
2015-04-05-19-00-00;23;13;10
2015-04-05-19-15-00;12;3;9
2015-04-05-19-30-00;19;6;13
2015-04-05-19-45-00;12;5;7
2015-04-05-20-00-00;18;2;16
2015-04-05-20-15-00;14;4;10
2015-04-05-20-30-00;12;4;8
2015-04-05-20-45-00;7;0;7
2015-04-05-21-00-00;9;7;2
2015-04-05-21-15-00;8;3;5
2015-04-05-21-30-00;6;2;4
2015-04-05-21-45-00;14;3;11
2015-04-05-22-00-00;6;1;5
2015-04-05-22-15-00;10;3;7
2015-04-05-22-30-00;8;1;7
2015-04-05-22-45-00;7;3;4
2015-04-05-23-00-00;5;2;3
2015-04-05-23-15-00;4;1;3
2015-04-05-23-30-00;6;2;4
2015-04-05-23-45-00;6;1;5
2015-04-06-00-00-00;8;4;4
2015-04-06-00-15-00;5;1;4
2015-04-06-00-30-00;8;1;7
2015-04-06-00-45-00;4;0;4
2015-04-06-01-00-00;0;0;0
2015-04-06-01-15-00;2;0;2
2015-04-06-01-30-00;2;0;2
2015-04-06-01-45-00;3;1;2
2015-04-06-02-00-00;3;1;2
2015-04-06-02-15-00;2;0;2
2015-04-06-02-30-00;0;0;0
2015-04-06-02-45-00;1;0;1
2015-04-06-03-00-00;3;1;2
2015-04-06-03-15-00;1;0;1
2015-04-06-03-30-00;2;0;2
2015-04-06-03-45-00;0;0;0
2015-04-06-04-00-00;1;0;1
2015-04-06-04-15-00;2;1;1
2015-04-06-04-30-00;3;0;3
2015-04-06-04-45-00;3;1;2
2015-04-06-05-00-00;2;0;2
2015-04-06-05-15-00;2;0;2
2015-04-06-05-30-00;1;0;1
2015-04-06-05-45-00;4;2;2
2015-04-06-06-00-00;3;2;1
2015-04-06-06-15-00;0;0;0
2015-04-06-06-30-00;1;0;1
2015-04-06-06-45-00;0;0;0
2015-04-06-07-00-00;2;1;1
2015-04-06-07-15-00;2;0;2
2015-04-06-07-30-00;8;3;5
2015-04-06-07-45-00;1;0;1
2015-04-06-08-00-00;1;0;1
2015-04-06-08-15-00;0;0;0
2015-04-06-08-30-00;10;2;8
2015-04-06-08-45-00;13;8;5
2015-04-06-09-00-00;5;0;5
2015-04-06-09-15-00;10;3;7
2015-04-06-09-30-00;17;8;9
2015-04-06-09-45-00;26;7;19
2015-04-06-10-00-00;17;4;13
2015-04-06-10-15-00;12;5;7
2015-04-06-10-30-00;19;5;14
2015-04-06-10-45-00;17;5;12
2015-04-06-11-00-00;16;6;10
2015-04-06-11-15-00;20;4;16
2015-04-06-11-30-00;17;7;10
2015-04-06-11-45-00;14;4;10
2015-04-06-12-00-00;18;6;12
2015-04-06-12-15-00;19;7;12
2015-04-06-12-30-00;23;3;20
2015-04-06-12-45-00;16;6;10
2015-04-06-13-00-00;22;5;17
2015-04-06-13-15-00;23;5;18
2015-04-06-13-30-00;29;5;24
2015-04-06-13-45-00;17;3;14
2015-04-06-14-00-00;22;6;16
2015-04-06-14-15-00;18;3;15
2015-04-06-14-30-00;29;12;17
2015-04-06-14-45-00;24;4;20
2015-04-06-15-00-00;26;3;23
2015-04-06-15-15-00;24;3;21
2015-04-06-15-30-00;24;6;18
2015-04-06-15-45-00;22;4;18
2015-04-06-16-00-00;26;7;19
2015-04-06-16-15-00;25;4;21
2015-04-06-16-30-00;18;6;12
2015-04-06-16-45-00;29;2;27
2015-04-06-17-00-00;45;10;35
2015-04-06-17-15-00;28;11;17
2015-04-06-17-30-00;30;14;16
2015-04-06-17-45-00;48;21;27
2015-04-06-18-00-00;22;3;19
2015-04-06-18-15-00;39;11;28
2015-04-06-18-30-00;19;3;16
2015-04-06-18-45-00;25;9;16
2015-04-06-19-00-00;25;3;22
2015-04-06-19-15-00;27;8;19
2015-04-06-19-30-00;32;8;24
2015-04-06-19-45-00;26;11;15
2015-04-06-20-00-00;28;8;20
2015-04-06-20-15-00;19;5;14
2015-04-06-20-30-00;25;11;14
2015-04-06-20-45-00;20;2;18
2015-04-06-21-00-00;7;2;5
2015-04-06-21-15-00;17;3;14
2015-04-06-21-30-00;12;0;12
2015-04-06-21-45-00;9;5;4
2015-04-06-22-00-00;10;1;9
2015-04-06-22-15-00;4;0;4
2015-04-06-22-30-00;11;0;11
2015-04-06-22-45-00;4;0;4
2015-04-06-23-00-00;7;3;4
2015-04-06-23-15-00;7;3;4
2015-04-06-23-30-00;3;1;2
2015-04-06-23-45-00;7;2;5
2015-04-07-00-00-00;4;1;3
2015-04-07-00-15-00;5;0;5
2015-04-07-00-30-00;1;1;0
2015-04-07-00-45-00;3;0;3
2015-04-07-01-00-00;0;0;0
2015-04-07-01-15-00;0;0;0
2015-04-07-01-30-00;2;0;2
2015-04-07-01-45-00;0;0;0
2015-04-07-02-00-00;0;0;0
2015-04-07-02-15-00;0;0;0
2015-04-07-02-30-00;3;0;3
2015-04-07-02-45-00;0;0;0
2015-04-07-03-00-00;1;0;1
2015-04-07-03-15-00;0;0;0
2015-04-07-03-30-00;4;1;3
2015-04-07-03-45-00;1;0;1
2015-04-07-04-00-00;2;1;1
2015-04-07-04-15-00;3;3;0
2015-04-07-04-30-00;1;0;1
2015-04-07-04-45-00;6;1;5
2015-04-07-05-00-00;1;0;1
2015-04-07-05-15-00;4;0;4
2015-04-07-05-30-00;12;5;7
2015-04-07-05-45-00;10;6;4
2015-04-07-06-00-00;12;6;6
2015-04-07-06-15-00;15;8;7
2015-04-07-06-30-00;25;7;18
2015-04-07-06-45-00;28;16;12
2015-04-07-07-00-00;30;12;18
2015-04-07-07-15-00;42;12;30
2015-04-07-07-30-00;46;17;29
2015-04-07-07-45-00;76;43;33
2015-04-07-08-00-00;60;34;26
2015-04-07-08-15-00;72;37;35
2015-04-07-08-30-00;64;39;25
2015-04-07-08-45-00;78;51;27
2015-04-07-09-00-00;37;21;16
2015-04-07-09-15-00;44;30;14
2015-04-07-09-30-00;32;21;11
2015-04-07-09-45-00;51;33;18
2015-04-07-10-00-00;35;17;18
2015-04-07-10-15-00;42;21;21
2015-04-07-10-30-00;30;13;17
2015-04-07-10-45-00;36;16;20
2015-04-07-11-00-00;36;15;21
2015-04-07-11-15-00;41;12;29
2015-04-07-11-30-00;30;10;20
2015-04-07-11-45-00;56;19;37
2015-04-07-12-00-00;47;17;30
2015-04-07-12-15-00;57;18;39
2015-04-07-12-30-00;70;17;53
2015-04-07-12-45-00;65;19;46
2015-04-07-13-00-00;58;18;40
2015-04-07-13-15-00;62;17;45
2015-04-07-13-30-00;51;22;29
2015-04-07-13-45-00;67;23;44
2015-04-07-14-00-00;59;19;40
2015-04-07-14-15-00;74;17;57
2015-04-07-14-30-00;61;15;46
2015-04-07-14-45-00;65;10;55
2015-04-07-15-00-00;61;21;40
2015-04-07-15-15-00;61;11;50
2015-04-07-15-30-00;84;19;65
2015-04-07-15-45-00;85;14;71
2015-04-07-16-00-00;89;13;76
2015-04-07-16-15-00;104;17;87
2015-04-07-16-30-00;84;17;67
2015-04-07-16-45-00;115;24;91
2015-04-07-17-00-00;92;21;71
2015-04-07-17-15-00;92;18;74
2015-04-07-17-30-00;120;15;105
2015-04-07-17-45-00;143;30;113
2015-04-07-18-00-00;111;20;91
2015-04-07-18-15-00;111;19;92
2015-04-07-18-30-00;95;12;83
2015-04-07-18-45-00;110;6;104
2015-04-07-19-00-00;80;12;68
2015-04-07-19-15-00;59;12;47
2015-04-07-19-30-00;81;17;64
2015-04-07-19-45-00;51;14;37
2015-04-07-20-00-00;58;9;49
2015-04-07-20-15-00;61;12;49
2015-04-07-20-30-00;48;8;40
2015-04-07-20-45-00;34;8;26
2015-04-07-21-00-00;22;7;15
2015-04-07-21-15-00;29;7;22
2015-04-07-21-30-00;19;3;16
2015-04-07-21-45-00;12;5;7
2015-04-07-22-00-00;24;3;21
2015-04-07-22-15-00;23;4;19
2015-04-07-22-30-00;18;4;14
2015-04-07-22-45-00;10;3;7
2015-04-07-23-00-00;21;3;18
2015-04-07-23-15-00;10;2;8
2015-04-07-23-30-00;11;1;10
2015-04-07-23-45-00;7;2;5
2015-04-08-00-00-00;10;2;8
2015-04-08-00-15-00;2;0;2
2015-04-08-00-30-00;9;1;8
2015-04-08-00-45-00;1;0;1
2015-04-08-01-00-00;0;0;0
2015-04-08-01-15-00;1;0;1
2015-04-08-01-30-00;2;0;2
2015-04-08-01-45-00;1;0;1
2015-04-08-02-00-00;0;0;0
2015-04-08-02-15-00;1;0;1
2015-04-08-02-30-00;0;0;0
2015-04-08-02-45-00;0;0;0
2015-04-08-03-00-00;1;0;1
2015-04-08-03-15-00;0;0;0
2015-04-08-03-30-00;1;1;0
2015-04-08-03-45-00;0;0;0
2015-04-08-04-00-00;2;1;1
2015-04-08-04-15-00;3;3;0
2015-04-08-04-30-00;6;1;5
2015-04-08-04-45-00;1;0;1
2015-04-08-05-00-00;2;0;2
2015-04-08-05-15-00;3;0;3
2015-04-08-05-30-00;17;9;8
2015-04-08-05-45-00;7;6;1
2015-04-08-06-00-00;9;3;6
2015-04-08-06-15-00;20;7;13
2015-04-08-06-30-00;27;6;21
2015-04-08-06-45-00;32;17;15
2015-04-08-07-00-00;31;14;17
2015-04-08-07-15-00;48;21;27
2015-04-08-07-30-00;51;24;27
2015-04-08-07-45-00;67;38;29
2015-04-08-08-00-00;52;27;25
2015-04-08-08-15-00;71;34;37
2015-04-08-08-30-00;51;33;18
2015-04-08-08-45-00;91;52;39
2015-04-08-09-00-00;52;25;27
2015-04-08-09-15-00;44;32;12
2015-04-08-09-30-00;49;31;18
2015-04-08-09-45-00;63;38;25
2015-04-08-10-00-00;31;13;18
2015-04-08-10-15-00;34;14;20
2015-04-08-10-30-00;47;21;26
