 ;5.15 BN - Weg auf Damm Neil ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden
2016-01-21-02-00-00;0;0;0;0;0
2016-01-21-02-15-00;0;0;0;0;0
2016-01-21-02-30-00;0;0;0;0;0
2016-01-21-02-45-00;0;0;0;0;0
2016-01-21-03-00-00;0;0;0;0;0
2016-01-21-03-15-00;0;0;0;0;0
2016-01-21-03-30-00;1;0;0;0;1
2016-01-21-03-45-00;0;0;0;0;0
2016-01-21-04-00-00;0;0;0;0;0
2016-01-21-04-15-00;0;0;0;0;0
2016-01-21-04-30-00;0;0;0;0;0
2016-01-21-04-45-00;0;0;0;0;0
2016-01-21-05-00-00;0;0;0;0;0
2016-01-21-05-15-00;0;0;0;0;0
2016-01-21-05-30-00;1;0;0;0;1
2016-01-21-05-45-00;1;0;1;0;0
2016-01-21-06-00-00;1;0;0;0;1
2016-01-21-06-15-00;1;0;0;1;0
2016-01-21-06-30-00;2;1;0;0;1
2016-01-21-06-45-00;11;6;0;0;5
2016-01-21-07-00-00;6;4;0;1;1
2016-01-21-07-15-00;22;14;0;1;7
2016-01-21-07-30-00;36;13;2;0;21
2016-01-21-07-45-00;34;16;1;0;17
2016-01-21-08-00-00;26;10;0;0;16
2016-01-21-08-15-00;20;7;0;0;13
2016-01-21-08-30-00;34;8;2;0;24
2016-01-21-08-45-00;20;6;0;0;14
2016-01-21-09-00-00;17;9;0;1;7
2016-01-21-09-15-00;12;6;1;0;5
2016-01-21-09-30-00;11;2;1;1;7
2016-01-21-09-45-00;9;5;0;1;3
2016-01-21-10-00-00;6;2;0;0;4
2016-01-21-10-15-00;4;2;0;1;1
2016-01-21-10-30-00;7;3;0;0;4
2016-01-21-10-45-00;6;3;0;1;2
2016-01-21-11-00-00;11;6;0;1;4
2016-01-21-11-15-00;13;8;0;1;4
2016-01-21-11-30-00;5;2;0;0;3
2016-01-21-11-45-00;11;7;0;1;3
2016-01-21-12-00-00;8;3;0;1;4
2016-01-21-12-15-00;15;4;1;3;7
2016-01-21-12-30-00;8;6;0;1;1
2016-01-21-12-45-00;7;4;0;1;2
2016-01-21-13-00-00;11;3;0;0;8
2016-01-21-13-15-00;12;8;0;2;2
2016-01-21-13-30-00;10;4;1;1;4
2016-01-21-13-45-00;9;4;0;1;4
2016-01-21-14-00-00;16;12;0;2;2
2016-01-21-14-15-00;11;3;3;1;4
2016-01-21-14-30-00;17;11;0;1;5
2016-01-21-14-45-00;7;3;1;1;2
2016-01-21-15-00-00;8;3;0;1;4
2016-01-21-15-15-00;20;13;0;0;7
2016-01-21-15-30-00;9;5;0;0;4
2016-01-21-15-45-00;18;8;0;2;8
2016-01-21-16-00-00;17;8;0;4;5
2016-01-21-16-15-00;14;8;0;1;5
2016-01-21-16-30-00;18;10;0;0;8
2016-01-21-16-45-00;17;8;1;0;8
2016-01-21-17-00-00;23;12;0;2;9
2016-01-21-17-15-00;18;13;1;0;4
2016-01-21-17-30-00;17;8;0;2;7
2016-01-21-17-45-00;23;18;0;0;5
2016-01-21-18-00-00;28;12;2;0;14
2016-01-21-18-15-00;18;13;0;0;5
2016-01-21-18-30-00;12;9;0;0;3
2016-01-21-18-45-00;12;5;0;1;6
2016-01-21-19-00-00;11;5;0;1;5
2016-01-21-19-15-00;5;3;0;1;1
2016-01-21-19-30-00;7;4;0;0;3
2016-01-21-19-45-00;10;4;0;2;4
2016-01-21-20-00-00;10;3;0;1;6
2016-01-21-20-15-00;5;0;0;3;2
